,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster44.oracleGeneral.zst_5702089313,0.0226,0.0117,0.0212,0.0204,0.0254,0.0215,0.0195,0.0209,0.0209,0.0198,0.0195,0.0185,0.0181,0.0193,0.0199,0.023,0.0186
cluster22.oracleGeneral.zst_2030691718,0.2321,0.1989,0.2329,0.2332,0.2405,0.2291,0.2241,0.2293,0.2289,0.232,0.2282,0.2257,0.2206,0.2261,0.2316,0.2262,0.2239
cluster42.oracleGeneral.zst_3904264364,0.0056,0.0024,0.0056,0.0059,0.01,0.0425,0.0313,0.0095,0.0099,0.0057,0.0063,0.0053,0.0053,0.0055,0.0061,0.0051,0.0055
cluster43.oracleGeneral.zst_9038233795,0.0016,0.0014,0.0016,0.0017,0.0023,0.0026,0.0019,0.0016,0.0017,0.0016,0.0017,0.0016,0.0016,0.0016,0.0017,0.0029,0.0016
cluster9.oracleGeneral.zst_10646675648,0.0018,0.0009,0.0017,0.0017,0.0023,0.0017,0.0014,0.0015,0.0019,0.0015,0.0016,0.0014,0.0014,0.0015,0.0015,0.0015,0.0014
cluster8.oracleGeneral.zst_1302137879,0.4044,0.2254,0.4192,0.406,0.4087,0.423,0.4685,0.3958,0.4125,0.6466,0.4177,0.3911,0.3342,0.3899,0.3434,0.4344,0.3827
cluster54.oracleGeneral.zst_11866133317,0.0428,0.0186,0.042,0.0427,0.0671,0.0512,0.0477,0.0413,0.0507,0.0424,0.0405,0.0384,0.0377,0.0401,0.0428,0.0383,0.039
cluster36.oracleGeneral.zst_5781263748,0.0388,0.0185,0.0388,0.0415,0.0504,0.0582,0.0496,0.0449,0.0412,0.037,0.0403,0.0347,0.0349,0.0387,0.0352,0.0316,0.0343
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.0569,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568
cluster49.oracleGeneral.zst_799295267,0.0317,0.0147,0.0345,0.0321,0.0416,0.0562,0.097,0.0411,0.0619,0.0328,0.0323,0.0307,0.0309,0.0311,0.0352,0.0344,0.0319
cluster37.oracleGeneral.zst_3168270709,0.226,0.2254,,0.2259,0.2266,0.2261,,0.2258,0.226,0.2259,0.2257,0.2257,0.2257,0.2257,0.2262,0.2281,0.2257
cluster31.oracleGeneral.zst_1341176720,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.002,0.0012,0.002,0.0021,0.0035,0.0027,0.0029,0.0031,0.0024,0.002,0.002,0.002,0.002,0.002,0.0025,0.0057,0.0021
cluster2.oracleGeneral.zst_7226679214,0.0014,0.0007,0.0014,0.0014,0.0019,0.0023,0.003,0.0016,0.0016,0.0014,0.0015,0.0013,0.0013,0.0014,0.0015,0.0016,0.0015
cluster33.oracleGeneral.zst_6705048996,0.02,0.0091,0.019,0.0189,0.024,0.0222,0.0227,0.0197,0.0212,0.0176,0.0175,0.0173,0.017,0.0177,0.0179,0.0161,0.0178
cluster13.oracleGeneral.zst_825381985,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8426,0.8429,0.8426,0.8426,0.8426,0.8426,0.8426,0.8429,0.8426
cluster29.oracleGeneral.zst_6920247859,0.0359,0.0334,0.0356,0.0357,0.0384,0.0371,0.0358,0.0356,0.0366,0.0353,0.0352,0.035,0.0352,0.0352,0.0366,0.0366,0.0351
cluster40.oracleGeneral.zst_3847885075,0.003,0.0029,0.0031,0.0031,0.0032,0.0033,0.0031,0.003,0.0031,0.003,0.0031,0.003,0.0031,0.003,0.0031,0.0053,0.003
cluster53.oracleGeneral.zst_246508262,0.0648,0.0341,0.0638,0.0632,0.0791,0.0768,0.0656,0.0644,0.0898,0.0624,0.0605,0.0585,0.0573,0.0603,0.0596,0.06,0.0594
cluster1.oracleGeneral.zst_6461081324,0.0003,0.0001,0.0003,0.0003,0.001,0.0007,0.0008,0.0008,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0003
