,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0491,0.0263,0.0491,0.0476,0.0599,0.0504,0.0408,0.0489,0.0408,0.0448,0.0454,0.0439,0.0435,0.046,0.0425,0.0397,0.0418
cluster5.oracleGeneral.zst_10458446348,0.2082,0.1984,0.2112,0.2101,0.2132,0.2061,0.205,0.2048,0.2083,0.2082,0.211,0.2056,0.2027,0.2043,0.2067,0.2178,0.2043
cluster4.oracleGeneral.zst_3448082328,0.0415,0.0309,0.041,0.0411,0.0456,0.0379,0.0355,0.0417,0.041,0.0402,0.04,0.0381,0.0375,0.0393,0.0394,0.0409,0.0379
cluster50.oracleGeneral.zst_139655585,0.248,0.1165,0.2227,0.204,0.2427,0.1495,0.1054,0.214,0.1192,0.2014,0.1994,0.2022,0.2119,0.201,0.2215,0.207,0.2151
cluster27.oracleGeneral.zst_12060815269,0.4197,0.2246,0.4356,0.463,0.4652,0.4394,0.4085,0.4728,0.4672,0.396,0.441,0.4056,0.3813,0.4213,0.3938,0.3875,0.4042
cluster21.oracleGeneral.zst_1550193320,0.9403,0.9375,0.939,0.9407,0.9415,0.9393,0.94,0.9403,0.9397,0.9398,0.941,0.9389,0.939,0.9397,0.9396,0.9422,0.939
cluster11.oracleGeneral.zst_2731402190,0.2551,0.1138,0.2629,0.2491,0.2697,0.1792,0.0935,0.2432,0.1008,0.2097,0.243,0.2275,0.2258,0.2297,0.2086,0.1658,0.2322
cluster26.oracleGeneral.zst_156594627,0.0783,0.0781,0.0781,0.0781,0.0783,0.0784,0.0782,0.0782,0.0781,0.0782,0.0782,0.0781,0.0782,0.0781,0.0782,0.0806,0.0781
cluster16.oracleGeneral.zst_10791885322,0.0659,0.0287,0.0591,0.0596,0.0697,0.0534,0.0444,0.0589,0.038,0.0544,0.0525,0.0545,0.0539,0.0569,0.0554,0.0525,0.0539
cluster23.oracleGeneral.zst_5333543178,0.2711,0.2703,,0.271,0.271,0.2709,0.2708,0.2709,0.2709,0.2711,0.2709,0.2709,0.2708,0.2709,0.2709,0.2714,0.2709
cluster28.oracleGeneral.zst_5267932037,0.0227,0.0154,0.0213,0.0213,0.0228,0.022,0.0212,0.0213,0.0211,0.0204,0.0205,0.0193,0.019,0.0209,0.019,0.0223,0.0191
cluster48.oracleGeneral.zst_1129939853,0.3339,0.2444,0.3394,0.3436,0.3715,0.3185,0.3045,0.3357,0.3525,0.3191,0.3208,0.3138,0.3233,0.3185,0.341,0.3639,0.3155
cluster41.oracleGeneral.zst_3214344864,0.0866,0.0783,0.0884,0.0878,0.0913,0.0877,0.0859,0.0876,0.0875,0.0866,0.0893,0.0859,0.0879,0.0857,0.0933,0.1284,0.0862
cluster51.oracleGeneral.zst_6322932555,0.0144,0.005,0.0118,0.0115,0.0176,0.0117,0.0119,0.0213,0.0081,0.0107,0.0113,0.0106,0.0107,0.011,0.0107,0.0103,0.0112
cluster7.oracleGeneral.zst_1044513075,0.1829,0.1496,0.1832,0.1847,0.19,0.1023,0.0652,0.1829,0.1067,0.1831,0.1829,0.1806,0.1758,0.1826,0.1666,0.1489,0.1763
cluster3.oracleGeneral.zst_820307312,0.0216,0.012,0.0203,0.0197,0.0252,0.019,0.0201,0.0269,0.017,0.0189,0.0189,0.0187,0.0187,0.0192,0.0208,0.0229,0.0191
cluster46.oracleGeneral.zst_6610320613,0.1947,0.1752,0.1996,0.1961,0.1986,0.1934,0.1911,0.1935,0.1954,0.1947,0.1995,0.1913,0.1909,0.1916,0.1922,0.1927,0.1905
cluster30.oracleGeneral.zst_2554900851,0.0074,0.0058,0.0073,0.0075,0.0088,0.0077,0.008,0.0107,0.0071,0.007,0.0074,0.0072,0.0086,0.0072,0.0094,0.014,0.0089
cluster17.oracleGeneral.zst_9772999471,0.0173,0.009,0.017,0.0169,0.0227,0.0173,0.0123,0.0159,0.0139,0.0154,0.0158,0.0151,0.0149,0.016,0.0153,0.0132,0.0146
cluster20.oracleGeneral.zst_3663259123,0.0294,0.0251,,0.0386,0.045,0.0372,0.0328,0.038,0.0387,0.0295,0.0342,0.0296,0.0302,0.0345,0.0341,0.0301,0.0298
cluster14.oracleGeneral.zst_3029143401,0.0375,0.0248,0.0356,0.0349,0.0411,0.0354,0.0345,0.0373,0.0345,0.0345,0.036,0.0334,0.0332,0.0341,0.0353,0.0521,0.0336
cluster52.oracleGeneral.zst_13426570607,0.0743,0.0387,0.0637,0.0611,0.0698,0.0494,0.0424,0.0578,0.0534,0.0565,0.0555,0.0536,0.0509,0.0562,0.0553,0.0517,0.0521
cluster6.oracleGeneral.zst_8376428572,0.0032,0.0027,0.0032,0.0032,0.0039,0.0039,0.0066,0.0136,0.0035,0.0032,0.0033,0.0033,0.0035,0.0032,0.0041,0.0139,0.0038
cluster19.oracleGeneral.zst_2006896318,0.2442,0.1714,0.2446,0.2325,0.2487,0.2404,0.2298,0.2381,0.2708,0.2294,0.2399,0.2282,0.2406,0.2277,0.2529,0.3333,0.2311
cluster34.oracleGeneral.zst_2147047915,0.1927,0.0896,0.1997,0.2695,0.304,0.1315,0.0694,0.2909,0.091,0.1895,0.2062,0.1694,0.1118,0.1712,0.1321,0.1167,0.1593
cluster38.oracleGeneral.zst_1342423951,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster39.oracleGeneral.zst_1329229014,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster24.oracleGeneral.zst_3289457233,0.0281,0.0159,0.0272,0.0273,0.0367,0.0264,0.0218,0.027,0.0227,0.0253,0.0259,0.0245,0.0238,0.0257,0.0252,0.0231,0.024
cluster45.oracleGeneral.zst_227773739,0.3741,0.3071,0.3729,0.3744,0.3858,0.3577,0.3452,0.3713,0.3642,0.3656,0.3664,0.3613,0.3622,0.3638,0.3714,0.3708,0.3616
