,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster48.oracleGeneral.zst_1129939853,0.4012,0.3033,0.4108,0.4169,0.4599,0.3939,0.3749,0.4159,0.4088,0.394,0.3923,0.3839,0.4041,0.393,0.4185,0.4528,0.3857
cluster41.oracleGeneral.zst_3214344864,0.1099,0.0837,0.1115,0.1121,0.1205,0.107,0.1044,0.1111,0.1107,0.1099,0.117,0.1061,0.106,0.1075,0.1116,0.1539,0.1053
cluster51.oracleGeneral.zst_6322932555,0.0632,0.0254,0.0561,0.0558,0.0727,0.0508,0.0478,0.0691,0.0342,0.0512,0.0535,0.0526,0.0518,0.0537,0.0523,0.045,0.053
cluster7.oracleGeneral.zst_1044513075,0.2006,0.172,0.2034,0.2044,0.2121,0.1576,0.1396,0.2029,0.1693,0.2009,0.2009,0.1982,0.1927,0.2014,0.1883,0.1838,0.1917
cluster3.oracleGeneral.zst_820307312,0.0475,0.0261,0.045,0.0457,0.0606,0.042,0.043,0.0548,0.0352,0.0421,0.0439,0.0407,0.0402,0.0436,0.044,0.045,0.0412
cluster46.oracleGeneral.zst_6610320613,0.208,0.1815,0.2096,0.2091,0.2127,0.2095,0.203,0.2075,0.2086,0.2079,0.2133,0.2053,0.2051,0.2076,0.2004,0.2018,0.2042
cluster30.oracleGeneral.zst_2554900851,0.0147,0.0086,0.0148,0.0155,0.0211,0.0157,0.0185,0.0267,0.0143,0.0139,0.0149,0.0148,0.0146,0.0145,0.0157,0.0336,0.0154
cluster17.oracleGeneral.zst_9772999471,0.0394,0.022,0.0396,0.0391,0.0529,0.0402,0.0332,0.0389,0.0321,0.0355,0.0361,0.0339,0.033,0.0369,0.0346,0.032,0.0338
cluster20.oracleGeneral.zst_3663259123,0.0514,0.0381,,0.0557,0.0615,0.0531,0.048,0.0512,0.0556,0.0499,0.0505,0.0487,0.0479,0.0521,0.0498,0.0491,0.0481
cluster14.oracleGeneral.zst_3029143401,0.0589,0.0388,0.0567,0.0596,0.0887,0.065,0.0557,0.092,0.0548,0.0561,0.0613,0.0555,0.0529,0.0557,0.0552,0.0609,0.0547
cluster52.oracleGeneral.zst_13426570607,0.09,0.0592,0.0885,0.0874,0.1008,0.0775,0.0674,0.0849,0.078,0.0824,0.0839,0.0798,0.078,0.0832,0.0779,0.0775,0.0787
cluster6.oracleGeneral.zst_8376428572,0.0282,0.0153,0.0278,0.0283,0.039,0.024,0.0348,0.0713,0.0183,0.0262,0.0278,0.027,0.0268,0.0276,0.0297,0.0277,0.0273
cluster19.oracleGeneral.zst_2006896318,0.3943,0.2206,0.3623,0.3438,0.3692,0.3562,0.3438,0.357,0.3636,0.3432,0.3446,0.3389,0.3524,0.3428,0.3543,0.42,0.3428
cluster34.oracleGeneral.zst_2147047915,0.443,0.1923,0.4509,0.4473,0.4553,0.3484,0.2601,0.4419,0.2478,0.4352,0.4409,0.4235,0.3237,0.3542,0.3431,0.265,0.4098
cluster38.oracleGeneral.zst_1342423951,0.9385,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster39.oracleGeneral.zst_1329229014,0.9385,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster24.oracleGeneral.zst_3289457233,0.0659,0.0355,0.0631,0.0637,0.0842,0.0629,0.0549,0.0625,0.0512,0.0583,0.0598,0.0556,0.0539,0.0589,0.0569,0.0533,0.0558
cluster45.oracleGeneral.zst_227773739,0.4019,0.3448,0.4027,0.4047,0.4175,0.3965,0.3874,0.4018,0.4136,0.4009,0.3995,0.3962,0.3936,0.397,0.3954,0.3982,0.3957
cluster44.oracleGeneral.zst_5702089313,0.0671,0.0355,0.0624,0.0619,0.0778,0.0636,0.0583,0.0627,0.0593,0.0587,0.0595,0.0548,0.0534,0.0575,0.0566,0.0649,0.0546
cluster22.oracleGeneral.zst_2030691718,0.2956,0.2256,0.2912,0.29,0.2976,0.2872,0.2747,0.2833,0.2995,0.2992,0.2877,0.2804,0.2691,0.2801,0.2701,0.2858,0.276
cluster42.oracleGeneral.zst_3904264364,0.057,0.0303,0.0472,0.0532,0.0754,0.015,0.0169,0.0614,0.0176,0.0426,0.0297,0.0438,0.0432,0.0472,0.0502,0.0425,0.0463
cluster43.oracleGeneral.zst_9038233795,0.1463,0.1096,0.149,0.1481,0.1585,0.1225,0.1108,0.148,0.1147,0.1463,0.1641,0.1437,0.1437,0.1463,0.148,0.1429,0.1446
cluster9.oracleGeneral.zst_10646675648,0.016,0.0083,0.0165,0.0152,0.0199,0.0162,0.0144,0.0156,0.0138,0.015,0.015,0.0137,0.0132,0.0144,0.0136,0.0139,0.0132
cluster8.oracleGeneral.zst_1302137879,0.4925,0.4529,0.5154,0.4961,0.4946,0.5198,0.4738,0.5017,0.4489,0.7567,0.4945,0.7208,0.7153,0.61,0.5546,0.7095,0.7212
cluster54.oracleGeneral.zst_11866133317,0.3557,0.2025,0.3354,0.3459,0.4027,0.3407,0.2843,0.3378,0.3019,0.3216,0.3304,0.3074,0.3014,0.3149,0.3155,0.2949,0.3116
cluster36.oracleGeneral.zst_5781263748,0.0897,0.0545,0.0882,0.0866,0.0993,0.0845,0.0712,0.0837,0.076,0.0826,0.0842,0.0782,0.0779,0.0826,0.0786,0.0767,0.0761
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst_799295267,0.3239,0.2127,0.3398,0.3239,0.3377,0.2635,0.2259,0.3276,0.3557,0.4447,0.3342,0.329,0.3276,0.322,0.3182,0.3649,0.3341
cluster37.oracleGeneral.zst_3168270709,0.2248,0.22,0.2243,0.2252,0.2281,0.2234,0.222,0.2244,0.2229,0.2232,0.2237,0.2222,0.2232,0.2227,0.2248,0.2282,0.2221
cluster31.oracleGeneral.zst_1341176720,0.9384,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0174,0.0078,0.0164,0.0177,0.029,0.0174,0.0253,0.0363,0.0149,0.0153,0.0166,0.0151,0.0148,0.0164,0.0176,0.0161,0.0155
cluster2.oracleGeneral.zst_7226679214,0.0129,0.007,0.0147,0.0132,0.0145,0.0132,0.0124,0.0136,0.012,0.0128,0.014,0.0121,0.0121,0.0129,0.012,0.0116,0.0121
cluster33.oracleGeneral.zst_6705048996,0.0199,0.0081,0.0178,0.0148,0.0189,0.0131,0.0165,0.0255,0.0136,0.0137,0.014,0.0146,0.0141,0.0143,0.0152,0.032,0.015
cluster13.oracleGeneral.zst_825381985,0.642,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6281,0.6279,0.6279,0.6279,0.6279,0.6279,0.6283,0.6279
cluster29.oracleGeneral.zst_6920247859,0.0567,0.0396,0.0591,0.0595,0.0741,0.054,0.0459,0.0607,0.0515,0.0526,0.0533,0.05,0.0497,0.055,0.0532,0.0514,0.0496
cluster40.oracleGeneral.zst_3847885075,0.109,0.0827,0.1105,0.1111,0.1194,0.1067,0.1043,0.1108,0.1115,0.109,0.1156,0.1051,0.105,0.1063,0.1107,0.1609,0.1043
cluster53.oracleGeneral.zst_246508262,0.1911,0.1169,0.1895,0.1924,0.2277,0.1232,0.0933,0.2052,0.1156,0.1728,0.1887,0.1838,0.1814,0.1864,0.1784,0.1652,0.1835
cluster1.oracleGeneral.zst_6461081324,0.0938,0.0436,0.0912,0.0932,0.1403,0.0976,0.1011,0.0979,0.0763,0.0917,0.0861,0.0811,0.0801,0.0874,0.0926,0.0792,0.0811
