,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster48.oracleGeneral.zst_1129939853,0.295,0.2107,0.2933,0.295,0.3248,0.2761,0.2614,0.2917,0.2999,0.2748,0.2891,0.2723,0.2766,0.2773,0.2934,0.311,0.2734
cluster41.oracleGeneral.zst_3214344864,0.0813,0.0783,0.0822,0.0819,0.0832,0.0826,0.081,0.0817,0.0816,0.0813,0.0822,0.081,0.0827,0.081,0.0825,0.1444,0.0811
cluster51.oracleGeneral.zst_6322932555,0.0043,0.0022,0.0044,0.0042,0.0066,0.0044,0.0047,0.0082,0.0039,0.004,0.0043,0.0039,0.004,0.004,0.0044,0.0041,0.0043
cluster7.oracleGeneral.zst_1044513075,0.1755,0.1235,0.177,0.176,0.177,0.086,0.0444,0.1687,0.075,0.1749,0.1813,0.1681,0.1599,0.1689,0.1537,0.1216,0.1537
cluster3.oracleGeneral.zst_820307312,0.0137,0.0086,0.0132,0.0125,0.0151,0.0135,0.0133,0.0172,0.0117,0.0124,0.0124,0.0123,0.0124,0.0123,0.0142,0.0164,0.0127
cluster46.oracleGeneral.zst_6610320613,0.1853,0.1752,0.1888,0.1874,0.1899,0.1856,0.184,0.1858,0.1867,0.1853,0.1887,0.184,0.1845,0.1841,0.1864,0.1877,0.1834
cluster30.oracleGeneral.zst_2554900851,0.0059,0.0052,0.0059,0.0059,0.0067,0.0062,0.0053,0.0068,0.0057,0.0057,0.0059,0.0058,0.0068,0.0058,0.0061,0.008,0.0075
cluster17.oracleGeneral.zst_9772999471,0.0084,0.0037,0.008,0.0085,0.0115,0.0083,0.0053,0.0076,0.0065,0.0068,0.007,0.0072,0.0071,0.0078,0.008,0.0057,0.007
cluster20.oracleGeneral.zst_3663259123,0.0252,0.0245,,0.0281,0.0371,0.0282,0.0256,0.0277,0.0307,0.0252,0.0274,0.0252,0.0263,0.0261,0.0295,0.0263,0.0251
cluster14.oracleGeneral.zst_3029143401,0.029,0.0229,0.0298,0.0289,0.0319,0.029,0.0281,0.0295,0.0289,0.0285,0.0295,0.0279,0.0277,0.0281,0.0298,0.0372,0.0281
cluster52.oracleGeneral.zst_13426570607,0.0507,0.03,0.0471,0.0441,0.0525,0.0373,0.032,0.0423,0.0453,0.0417,0.0425,0.041,0.0401,0.0422,0.0429,0.04,0.0408
cluster6.oracleGeneral.zst_8376428572,0.0026,0.0025,0.0026,0.0026,0.0026,0.0029,0.0036,0.0049,0.0028,0.0026,0.0026,0.0026,0.0027,0.0026,0.0027,0.0098,0.0028
cluster19.oracleGeneral.zst_2006896318,0.1976,0.1637,0.2051,0.1984,0.2077,0.2038,0.1956,0.2004,0.2199,0.1965,0.2015,0.1957,0.2021,0.1954,0.2017,0.2701,0.1965
cluster34.oracleGeneral.zst_2147047915,0.1345,0.0673,0.1274,0.1491,0.2101,0.0338,0.012,0.1516,0.0376,0.1285,0.1369,0.1236,0.0808,0.1158,0.0899,0.078,0.1245
cluster38.oracleGeneral.zst_1342423951,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster39.oracleGeneral.zst_1329229014,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster24.oracleGeneral.zst_3289457233,0.0167,0.01,0.0161,0.0162,0.0213,0.015,0.0125,0.0161,0.0141,0.0152,0.0155,0.0151,0.0148,0.0155,0.0157,0.0142,0.015
cluster45.oracleGeneral.zst_227773739,0.349,0.2876,0.3522,0.3506,0.3621,0.3336,0.3185,0.3496,0.33,0.3403,0.3434,0.3382,0.344,0.3418,0.3535,0.3498,0.3392
cluster44.oracleGeneral.zst_5702089313,0.0239,0.0128,0.0222,0.0211,0.0259,0.0219,0.0202,0.0216,0.0216,0.0205,0.0203,0.0194,0.019,0.0201,0.0208,0.024,0.0195
cluster22.oracleGeneral.zst_2030691718,0.2329,0.1988,0.2336,0.234,0.2416,0.2298,0.2246,0.23,0.2294,0.2328,0.2289,0.2263,0.2211,0.2267,0.2323,0.2267,0.2244
cluster42.oracleGeneral.zst_3904264364,0.0076,0.005,0.0075,0.0074,0.0105,0.006,0.0047,0.0093,0.0055,0.0069,0.0065,0.0069,0.007,0.0072,0.0083,0.0072,0.007
cluster43.oracleGeneral.zst_9038233795,0.0525,0.0479,0.0538,0.0532,0.0555,0.0538,0.0519,0.053,0.0539,0.0525,0.054,0.052,0.0525,0.0523,0.0546,0.0943,0.0521
cluster9.oracleGeneral.zst_10646675648,0.0035,0.0018,0.0033,0.0031,0.0041,0.0031,0.0026,0.003,0.0036,0.003,0.003,0.0027,0.0026,0.003,0.0029,0.0029,0.0026
cluster8.oracleGeneral.zst_1302137879,0.4609,0.332,0.4798,0.4609,0.4613,0.3626,0.2977,0.4584,0.313,0.6397,0.4752,0.4593,0.4376,0.454,0.4389,0.5116,0.4586
cluster54.oracleGeneral.zst_11866133317,0.0722,0.0392,0.069,0.069,0.0931,0.066,0.0543,0.0689,0.0598,0.067,0.0669,0.0652,0.0648,0.0662,0.0698,0.0625,0.0664
cluster36.oracleGeneral.zst_5781263748,0.0375,0.0224,0.0385,0.0379,0.0436,0.0348,0.0291,0.0356,0.0345,0.0353,0.0374,0.0337,0.0338,0.0353,0.0353,0.0337,0.0333
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst_799295267,0.1099,0.0604,0.115,0.1129,0.1123,0.0841,0.0669,0.1298,0.0522,0.1094,0.1113,0.1143,0.1145,0.1131,0.1071,0.1132,0.1165
cluster37.oracleGeneral.zst_3168270709,0.2204,0.22,,0.221,0.2225,0.2205,,0.2208,0.2211,0.2204,0.2203,0.2202,0.2208,0.2206,0.2218,0.2253,0.2202
cluster31.oracleGeneral.zst_1341176720,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0013,0.0009,0.0012,0.0012,0.0017,0.0014,0.0015,0.0021,0.0013,0.0012,0.0012,0.0012,0.0012,0.0012,0.0017,0.007,0.0013
cluster2.oracleGeneral.zst_7226679214,0.0028,0.0016,0.0029,0.0028,0.0035,0.003,0.0029,0.0031,0.0031,0.0028,0.0028,0.0027,0.0027,0.0028,0.0029,0.0031,0.0029
cluster33.oracleGeneral.zst_6705048996,0.0059,0.0041,0.0055,0.0053,0.006,0.0041,0.0036,0.0059,0.0044,0.005,0.0051,0.0052,0.0052,0.0052,0.0054,0.0053,0.0055
cluster13.oracleGeneral.zst_825381985,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.628,0.6279
cluster29.oracleGeneral.zst_6920247859,0.0382,0.0365,0.0389,0.04,0.0461,0.0389,0.0369,0.0394,0.0426,0.038,0.0378,0.0375,0.0383,0.0384,0.0422,0.0403,0.0375
cluster40.oracleGeneral.zst_3847885075,0.0812,0.0784,0.0822,0.0819,0.0832,0.0825,0.081,0.0818,0.0818,0.0813,0.0823,0.081,0.0827,0.081,0.0825,0.1422,0.0811
cluster53.oracleGeneral.zst_246508262,0.0797,0.0509,0.0771,0.078,0.0921,0.0531,0.0464,0.0858,0.0538,0.0701,0.0758,0.0755,0.0752,0.0761,0.0754,0.068,0.0777
cluster1.oracleGeneral.zst_6461081324,0.0008,0.0004,0.0008,0.0009,0.0017,0.0011,0.0016,0.0021,0.001,0.0008,0.0009,0.0008,0.0008,0.0008,0.001,0.0008,0.0008
