,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.0326,0.0169,0.0326,0.0319,0.0419,0.0358,0.0317,0.0328,0.0433,0.0299,0.0302,0.0291,0.0288,0.0309,0.0281,0.0264,0.0275
cluster5.oracleGeneral.zst_10458446348,0.153,0.1421,0.1552,0.1553,0.1593,0.1508,0.1494,0.1489,0.1532,0.1531,0.1563,0.1498,0.1466,0.1485,0.1512,0.165,0.1483
cluster4.oracleGeneral.zst_3448082328,0.0232,0.0177,0.0213,0.0205,0.0223,0.0211,0.0225,0.0208,0.0205,0.0211,0.0202,0.0198,0.0198,0.02,0.0201,0.0228,0.0198
cluster50.oracleGeneral.zst_139655585,0.2564,0.1219,0.234,0.226,0.2717,0.2747,0.3079,0.2524,0.3343,0.259,0.2549,0.2367,0.2476,0.229,0.2423,0.3128,0.2575
cluster27.oracleGeneral.zst_12060815269,0.4036,0.2183,0.4194,0.4404,0.4459,0.4242,0.4002,0.4467,0.4595,0.38,0.4223,0.3872,0.3644,0.4076,0.3796,0.3794,0.3854
cluster21.oracleGeneral.zst_1550193320,0.9388,0.9361,0.9376,0.9392,0.94,0.9379,0.9386,0.9388,0.9385,0.9383,0.9395,0.9375,0.9376,0.9382,0.9382,0.9409,0.9375
cluster11.oracleGeneral.zst_2731402190,0.1815,0.0749,0.1906,0.1774,0.1997,0.1793,0.1656,0.1687,0.2278,0.1493,0.1715,0.1532,0.1512,0.1594,0.1422,0.1293,0.1586
cluster26.oracleGeneral.zst_156594627,0.0668,0.0665,0.0666,0.0666,0.0669,0.0671,0.068,0.0666,0.0666,0.0666,0.0666,0.0665,0.0666,0.0666,0.0666,0.069,0.0665
cluster16.oracleGeneral.zst_10791885322,0.0609,0.0294,0.0545,0.0554,0.0675,0.0608,0.0814,0.0591,0.0702,0.0527,0.0544,0.0502,0.0499,0.0534,0.0508,0.0533,0.0499
cluster23.oracleGeneral.zst_5333543178,0.4171,0.4162,,0.417,0.417,0.417,0.4169,0.417,0.417,0.4171,0.417,0.417,0.4169,0.4169,0.417,0.4173,0.417
cluster28.oracleGeneral.zst_5267932037,0.0141,0.0086,0.0141,0.0149,0.0167,0.0159,0.0151,0.0149,0.0148,0.0135,0.0141,0.0126,0.0121,0.0146,0.0117,0.0123,0.0124
cluster48.oracleGeneral.zst_1129939853,0.4581,0.3233,0.4607,0.4641,0.4838,0.4555,0.4525,0.4567,0.5096,0.4464,0.4472,0.4412,0.4439,0.4458,0.4555,0.4717,0.4408
cluster41.oracleGeneral.zst_3214344864,0.0034,0.003,0.0035,0.0035,0.0039,0.0042,0.0041,0.0034,0.0053,0.0034,0.0035,0.0034,0.0034,0.0034,0.0036,0.0048,0.0033
cluster51.oracleGeneral.zst_6322932555,0.0105,0.0036,0.0085,0.0081,0.0125,0.0104,0.0165,0.0121,0.0086,0.0078,0.0078,0.0074,0.0074,0.0077,0.0078,0.0081,0.0076
cluster7.oracleGeneral.zst_1044513075,0.0758,0.0498,0.0761,0.0776,0.0856,0.0828,0.0761,0.0752,0.0939,0.0772,0.0759,0.0736,0.0706,0.0758,0.0672,0.0614,0.0703
cluster3.oracleGeneral.zst_820307312,0.02,0.0096,0.0186,0.0177,0.0239,0.0212,0.0291,0.0242,0.0236,0.0173,0.0169,0.0164,0.0163,0.0171,0.0188,0.0233,0.0166
cluster46.oracleGeneral.zst_6610320613,0.0371,0.0329,0.038,0.0379,0.0412,0.0512,0.0547,0.0366,0.0573,0.0371,0.038,0.0363,0.036,0.0362,0.0366,0.0362,0.0358
cluster30.oracleGeneral.zst_2554900851,0.0167,0.0105,0.0168,0.0179,0.0245,0.0194,0.019,0.0199,0.0177,0.0161,0.0173,0.0159,0.0159,0.0166,0.0176,0.0179,0.0168
cluster17.oracleGeneral.zst_9772999471,0.0132,0.0065,0.013,0.0131,0.0183,0.0145,0.0105,0.0122,0.0119,0.0121,0.0121,0.0115,0.0113,0.0124,0.0116,0.0103,0.0112
cluster20.oracleGeneral.zst_3663259123,0.0307,0.0269,,0.0394,0.046,0.039,0.0356,0.039,0.0404,0.0308,0.0351,0.0307,0.0312,0.0358,0.0347,0.0311,0.0308
cluster14.oracleGeneral.zst_3029143401,0.0158,0.0098,0.0149,0.0149,0.0195,0.0193,0.0178,0.0156,0.0208,0.0144,0.015,0.0137,0.0134,0.0143,0.0146,0.0204,0.0136
cluster52.oracleGeneral.zst_13426570607,0.068,0.033,0.0595,0.0594,0.0683,0.0625,0.0576,0.0568,0.059,0.055,0.0554,0.0515,0.0488,0.0555,0.051,0.0551,0.0504
cluster6.oracleGeneral.zst_8376428572,0.0004,0.0003,0.0004,0.0004,0.0008,0.0009,0.0016,0.0014,0.0009,0.0004,0.0004,0.0004,0.0004,0.0004,0.0005,0.0015,0.0004
cluster19.oracleGeneral.zst_2006896318,0.227,0.1563,0.2273,0.2169,0.2341,0.23,0.2175,0.2202,0.2627,0.2135,0.2238,0.2112,0.2212,0.2114,0.2338,0.3053,0.2131
cluster34.oracleGeneral.zst_2147047915,0.2974,0.1977,0.2875,0.3225,0.3427,0.2779,0.2488,0.3309,0.3084,0.28,0.2943,0.2657,0.2367,0.2677,0.2459,0.2405,0.2595
cluster38.oracleGeneral.zst_1342423951,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365
cluster39.oracleGeneral.zst_1329229014,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378
cluster24.oracleGeneral.zst_3289457233,0.0258,0.0127,0.0252,0.0257,0.036,0.0278,0.0245,0.0257,0.024,0.0241,0.0241,0.0225,0.0216,0.0241,0.0232,0.0217,0.0219
cluster45.oracleGeneral.zst_227773739,0.3437,0.2592,0.332,0.3355,0.3498,0.3378,0.3368,0.3311,0.3832,0.3368,0.3288,0.321,0.3189,0.3266,0.3299,0.3384,0.32
cluster44.oracleGeneral.zst_5702089313,0.035,0.0176,0.0317,0.0312,0.0396,0.0329,0.0297,0.0322,0.0307,0.0304,0.0299,0.0282,0.0275,0.0297,0.0301,0.0354,0.028
