,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster18.oracleGeneral.zst_13062209198,0.1648,0.0956,0.1616,0.162,0.1932,0.1668,0.163,0.1701,0.1385,0.1526,0.1552,0.144,0.1424,0.1553,0.1424,0.1449,0.1443
cluster5.oracleGeneral.zst_10458446348,0.2323,0.2051,0.2368,0.2347,0.2405,0.2315,0.2237,0.2258,0.2277,0.2322,0.2368,0.2263,0.2203,0.2278,0.2189,0.2215,0.2236
cluster4.oracleGeneral.zst_3448082328,0.0739,0.0471,0.0746,0.0741,0.0856,0.0701,0.0622,0.0817,0.0684,0.0738,0.0721,0.0688,0.0674,0.0713,0.0677,0.0784,0.0685
cluster50.oracleGeneral.zst_139655585,0.5882,0.3998,0.5424,0.5778,0.6243,0.4202,0.2671,0.5893,0.3225,0.4742,0.5042,0.4882,0.531,0.5115,0.5527,0.4558,0.4967
cluster27.oracleGeneral.zst_12060815269,0.6261,0.5158,0.6233,0.6271,0.6441,0.6251,0.6157,0.6235,0.6215,0.627,0.6219,0.6141,0.611,0.6155,0.6127,0.6249,0.6125
cluster21.oracleGeneral.zst_1550193320,0.9413,0.9375,0.941,0.9428,0.944,0.9423,0.9417,0.9421,0.9423,0.9432,0.9423,0.9408,0.9409,0.941,0.9422,0.9457,0.9409
cluster11.oracleGeneral.zst_2731402190,0.4401,0.3143,0.4246,0.4368,0.4672,0.3994,0.344,0.4352,0.3455,0.4268,0.4283,0.4103,0.4033,0.4219,0.3976,0.4103,0.4063
cluster26.oracleGeneral.zst_156594627,0.0794,0.0781,0.0794,0.079,0.08,0.0833,0.0798,0.0794,0.0782,0.0866,0.0796,0.0785,0.0785,0.0791,0.0785,0.3236,0.0791
cluster16.oracleGeneral.zst_10791885322,0.1534,0.0914,0.154,0.1507,0.1822,0.1397,0.1511,0.1518,0.1207,0.1409,0.1328,0.132,0.1315,0.1368,0.1354,0.1356,0.1333
cluster23.oracleGeneral.zst_5333543178,0.2715,0.2703,,0.2715,0.2716,0.2717,0.271,0.2714,0.2709,0.2758,0.2713,0.2717,0.2713,0.2712,0.2712,0.2836,0.2716
cluster28.oracleGeneral.zst_5267932037,0.0413,0.0265,0.0383,0.0372,0.0444,0.0394,0.0527,0.0596,0.0356,0.038,0.0374,0.0361,0.0367,0.0362,0.0382,0.0417,0.0374
cluster48.oracleGeneral.zst_1129939853,0.4892,0.3584,0.51,0.5239,0.563,0.4913,0.4724,0.5288,0.4761,0.4846,0.4959,0.4753,0.4884,0.4944,0.5058,0.5342,0.4758
cluster41.oracleGeneral.zst_3214344864,0.151,0.1074,0.1523,0.1547,0.1677,0.142,0.1355,0.1527,0.1366,0.151,0.1632,0.1434,0.1386,0.1469,0.144,0.1626,0.1409
cluster51.oracleGeneral.zst_6322932555,0.1371,0.073,0.14,0.1389,0.1675,0.1281,0.1235,0.1461,0.091,0.1368,0.1344,0.1254,0.1195,0.1303,0.1199,0.1196,0.1242
cluster7.oracleGeneral.zst_1044513075,0.2276,0.1931,0.2311,0.2317,0.246,0.2296,0.2058,0.2314,0.2133,0.2295,0.2279,0.2231,0.2173,0.2283,0.213,0.211,0.2156
cluster3.oracleGeneral.zst_820307312,0.096,0.0533,0.0903,0.0936,0.1196,0.0848,0.0862,0.104,0.0688,0.0856,0.0893,0.0811,0.0798,0.0877,0.0855,0.0851,0.0818
cluster46.oracleGeneral.zst_6610320613,0.2247,0.2019,0.2254,0.2257,0.2293,0.226,0.2155,0.2238,0.2226,0.2247,0.2324,0.2221,0.2211,0.2239,0.2195,0.221,0.2214
cluster30.oracleGeneral.zst_2554900851,0.0378,0.0192,0.0361,0.0368,0.0491,0.037,0.0428,0.0577,0.0324,0.0333,0.0351,0.032,0.0298,0.0332,0.0326,0.0642,0.0325
cluster17.oracleGeneral.zst_9772999471,0.0833,0.0462,0.0834,0.0822,0.1067,0.0835,0.0933,0.0821,0.0678,0.0763,0.0762,0.0716,0.0698,0.0775,0.0729,0.07,0.0716
cluster20.oracleGeneral.zst_3663259123,0.0672,0.0499,,0.0675,0.0728,0.0646,0.0607,0.0635,0.0655,0.0641,0.0641,0.0618,0.0613,0.0641,0.0633,0.0649,0.0614
cluster14.oracleGeneral.zst_3029143401,0.2091,0.084,0.2454,0.2177,0.2396,0.2004,0.1169,0.2227,0.1043,0.1975,0.2072,0.1964,0.1875,0.2004,0.162,0.1302,0.1839
cluster52.oracleGeneral.zst_13426570607,0.1219,0.0796,0.1249,0.1233,0.1413,0.1114,0.0944,0.1205,0.0996,0.1141,0.1173,0.1108,0.1061,0.1157,0.1056,0.1049,0.1089
cluster6.oracleGeneral.zst_8376428572,0.1923,0.1054,0.1904,0.19,0.2251,0.1312,0.1337,0.2286,0.1003,0.1775,0.1866,0.1808,0.1793,0.1861,0.1981,0.1753,0.1823
cluster19.oracleGeneral.zst_2006896318,0.5432,0.3099,0.5369,0.5198,0.5196,0.5069,0.502,0.5191,0.479,0.4946,0.5096,0.4926,0.4704,0.5016,0.4846,0.5088,0.4875
cluster34.oracleGeneral.zst_2147047915,0.469,0.3476,0.4704,0.4766,0.4885,0.4591,0.4348,0.473,0.3786,0.4719,0.4741,0.4629,0.4143,0.4474,0.4233,0.3933,0.4594
cluster38.oracleGeneral.zst_1342423951,0.9386,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster39.oracleGeneral.zst_1329229014,0.9385,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster24.oracleGeneral.zst_3289457233,0.1282,0.0704,0.1237,0.1255,0.1589,0.1236,0.1156,0.1223,0.1002,0.1147,0.1184,0.1084,0.1042,0.1148,0.1089,0.1038,0.1081
cluster45.oracleGeneral.zst_227773739,0.4247,0.3737,0.4326,0.4353,0.4494,0.4279,0.4161,0.4317,0.4294,0.4266,0.4313,0.4233,0.4202,0.4244,0.4242,0.4224,0.4218
cluster44.oracleGeneral.zst_5702089313,0.1109,0.0633,0.1076,0.1088,0.1339,0.1113,0.1034,0.1082,0.0952,0.1025,0.1057,0.0952,0.0926,0.1002,0.0975,0.1066,0.0948
cluster22.oracleGeneral.zst_2030691718,0.3226,0.2548,0.3188,0.3173,0.3255,0.3159,0.3036,0.3136,0.3217,0.328,0.315,0.3115,0.3064,0.3098,0.3068,0.3379,0.3088
cluster42.oracleGeneral.zst_3904264364,0.1192,0.0654,0.1057,0.1141,0.1485,0.0402,0.0405,0.1224,0.0424,0.0909,0.0747,0.0934,0.0911,0.0988,0.1004,0.0879,0.0958
cluster43.oracleGeneral.zst_9038233795,0.2595,0.1954,0.2611,0.263,0.2801,0.1925,0.2031,0.2537,0.1834,0.3011,0.2824,0.2519,0.2488,0.2584,0.2542,0.2582,0.2493
cluster9.oracleGeneral.zst_10646675648,0.035,0.0192,0.0363,0.0346,0.0475,0.0372,0.0449,0.0391,0.0304,0.0354,0.0334,0.0316,0.0306,0.033,0.0315,0.0327,0.0308
cluster8.oracleGeneral.zst_1302137879,0.609,0.4814,0.7804,0.6581,0.5532,0.6523,0.572,0.6582,0.5063,0.7934,0.6091,0.888,0.8844,0.8075,0.7861,0.8543,0.8892
cluster54.oracleGeneral.zst_11866133317,0.5422,0.3376,0.5085,0.5301,0.586,0.5252,0.4504,0.5221,0.4821,0.4897,0.5161,0.4733,0.4672,0.4859,0.4868,0.4589,0.4782
cluster36.oracleGeneral.zst_5781263748,0.1327,0.0761,0.1303,0.1273,0.144,0.1208,0.1021,0.1205,0.1032,0.1216,0.1244,0.1135,0.1096,0.1202,0.104,0.1063,0.1101
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst_799295267,0.41,0.3048,0.4396,0.4138,0.4291,0.3914,0.3946,0.4188,0.5066,0.5666,0.4177,0.5071,0.5014,0.438,0.4477,0.4987,0.5133
cluster37.oracleGeneral.zst_3168270709,0.228,0.22,0.2275,0.2286,0.2334,0.2269,0.2243,0.2279,0.2252,0.2261,0.2267,0.2247,0.2258,0.2252,0.2271,0.2321,0.2244
cluster31.oracleGeneral.zst_1341176720,0.9384,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
