,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster22.oracleGeneral.zst_2030691718,0.2126,0.1988,0.2135,0.2128,0.2219,0.2103,0.2087,0.2112,0.2101,0.2131,0.2107,0.2124,0.2091,0.2111,0.2183,0.2121,0.212
cluster42.oracleGeneral.zst_3904264364,0.0039,0.0035,0.0039,0.0038,0.0041,0.0044,0.0038,0.0046,0.004,0.0039,0.0039,0.0039,0.004,0.0039,0.0042,0.0054,0.0042
cluster43.oracleGeneral.zst_9038233795,0.0491,0.0479,0.0497,0.0496,0.0506,0.0492,0.0488,0.049,0.0502,0.0491,0.0496,0.0492,0.049,0.0489,0.0501,0.0752,0.0489
cluster9.oracleGeneral.zst_10646675648,0.0019,0.0014,0.0019,0.0019,0.0024,0.0019,0.0017,0.0018,0.0022,0.0018,0.0018,0.0017,0.0017,0.0018,0.002,0.0018,0.0017
cluster8.oracleGeneral.zst_1302137879,0.3988,0.2274,0.4646,0.3991,0.3962,0.2438,0.1927,0.3904,0.2004,0.4772,0.461,0.3865,0.3766,0.3871,0.3734,0.3753,0.3825
cluster54.oracleGeneral.zst_11866133317,0.0317,0.017,0.0301,0.0295,0.0385,0.0238,0.0183,0.0303,0.0246,0.0287,0.0311,0.0285,0.0285,0.0287,0.0303,0.0274,0.0288
cluster36.oracleGeneral.zst_5781263748,0.0215,0.0137,0.0218,0.0214,0.025,0.0205,0.0181,0.0206,0.0221,0.0207,0.0218,0.02,0.0197,0.0207,0.0218,0.0208,0.0196
cluster10.oracleGeneral.zst_139150615,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
cluster49.oracleGeneral.zst_799295267,0.052,0.0292,0.0548,0.0596,0.0611,0.0429,0.0281,0.1017,0.022,0.051,0.053,0.0691,0.069,0.0621,0.0519,0.0616,0.0738
cluster37.oracleGeneral.zst_3168270709,0.2201,0.22,,0.2202,0.2213,0.2202,,0.2202,0.2206,0.2202,0.2201,0.2201,0.2204,0.2202,0.2211,0.2223,0.2201
cluster31.oracleGeneral.zst_1341176720,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0009,0.0008,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001,0.0009,0.0009,0.0009,0.0009,0.0009,0.001,0.0028,0.0009
cluster2.oracleGeneral.zst_7226679214,0.0014,0.0008,0.0015,0.0014,0.0017,0.0014,0.0013,0.0014,0.0016,0.0014,0.0014,0.0013,0.0013,0.0014,0.0015,0.0015,0.0014
cluster33.oracleGeneral.zst_6705048996,0.0039,0.0032,0.0038,0.0037,0.0041,0.0032,0.003,0.0041,0.0036,0.0036,0.0037,0.0038,0.0038,0.0037,0.0039,0.0038,0.004
cluster13.oracleGeneral.zst_825381985,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279,0.6279
cluster29.oracleGeneral.zst_6920247859,0.0368,0.0365,0.0369,0.0373,0.0413,0.0376,0.0366,0.0372,0.0393,0.0371,0.037,0.0368,0.0373,0.0371,0.0401,0.0385,0.0368
cluster40.oracleGeneral.zst_3847885075,0.0793,0.0784,0.0796,0.0797,0.0802,0.0796,0.0791,0.0793,0.0798,0.0793,0.0797,0.0794,0.0792,0.0791,0.0801,0.094,0.0791
cluster53.oracleGeneral.zst_246508262,0.0561,0.0407,0.058,0.0549,0.0644,0.0452,0.0375,0.0569,0.0415,0.0508,0.0541,0.0539,0.0552,0.0539,0.058,0.0491,0.0554
cluster1.oracleGeneral.zst_6461081324,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
