,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
fiu_webresearch-030409-033109.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.5462,0.545,0.5483,0.5463,0.5305,0.555,0.5829,0.6508,0.6023,0.5705,0.5879,0.5742,0.5491,0.5672,0.5465,0.5476,0.5607,0.5536,0.5934
fiu_ikki-110108-112108.oracleGeneral.zst,0.7339,0.7324,0.7328,0.7341,0.673,0.7348,0.7621,0.7828,0.7637,0.7521,0.7609,0.7527,0.7353,0.7594,0.7343,0.7351,0.7504,0.7411,0.7549
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.6683,0.6677,0.6706,0.6692,0.6492,0.6811,0.7226,0.7818,0.7322,0.69,0.7281,0.6963,0.6709,0.7051,0.6695,0.6706,0.6813,0.6756,0.6989
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiu_casa-110108-112108.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiu_webusers-030409-033109.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst,0.7189,0.7065,0.7661,0.781,0.5586,0.8134,0.8605,0.8658,0.8407,0.8456,0.8576,0.7822,0.7561,0.8569,0.769,0.7643,0.8202,0.7849,0.8362
fiu_madmax-110108-112108.oracleGeneral.zst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fiu_homes-110108-112108.oracleGeneral.zst,0.4766,0.474,0.4809,0.4794,0.4283,0.4819,0.4996,0.5256,0.5023,0.4992,0.5059,0.4897,0.48,0.4948,0.4793,0.4808,0.5019,0.4901,0.5366
